Precinct Name (Short),Precinct Name,"Active
Voters",Contest Title,Choice Name,"Total
Ballots","Total
Votes","Total
Under
Votes","Total
Over
Votes"
100,2163307100,1291,Presidential Electors,Hillary Clinton / Tim Kaine,1174,724,27,0
100,2163307100,1291,Presidential Electors,Donald J. Trump / Michael R. Pence,1174,327,27,0
100,2163307100,1291,Presidential Electors,Darrell L. Castle / Scott N. Bradley,1174,2,27,0
100,2163307100,1291,Presidential Electors,Gary Johnson / Bill Weld,1174,63,27,0
100,2163307100,1291,Presidential Electors,Jill Stein / Ajamu Baraka,1174,18,27,0
100,2163307100,1291,Presidential Electors,Frank Atwood / Blake Huber  Approval Voting,1174,0,27,0
100,2163307100,1291,Presidential Electors,Rocky Roque De La Fuente / Michael Steinberg  American Delta,1174,0,27,0
100,2163307100,1291,Presidential Electors,James Hedges / Bill Bayes  Prohibition,1174,0,27,0
100,2163307100,1291,Presidential Electors,Tom Hoefling / Steve Schulin  America's,1174,0,27,0
100,2163307100,1291,Presidential Electors,Chris Keniston / Deacon Taylor  Veterans of America,1174,0,27,0
100,2163307100,1291,Presidential Electors,Alyson Kennedy / Osborne Hart  Socialist Workers,1174,0,27,0
100,2163307100,1291,Presidential Electors,Kyle Kenley Kopitke / Nathan R. Sorenson  Independent American,1174,0,27,0
100,2163307100,1291,Presidential Electors,Laurence Kotlikoff / Edward Leamer  Kotlikoff for President,1174,2,27,0
100,2163307100,1291,Presidential Electors,Gloria Estela La Riva / Dennis J. Banks  Socialism and Liberation,1174,0,27,0
100,2163307100,1291,Presidential Electors,Bradford Lyttle / Hannah Walsh  Nonviolent Resistance/Pacifist,1174,0,27,0
100,2163307100,1291,Presidential Electors,Joseph Allen Maldonado / Douglas K. Terranova  Independent People,1174,0,27,0
100,2163307100,1291,Presidential Electors,Michael A. Maturen / Juan Munoz  American Solidarity,1174,2,27,0
100,2163307100,1291,Presidential Electors,Evan McMullin / Nathan Johnson,1174,8,27,0
100,2163307100,1291,Presidential Electors,Ryan Alan Scott / Bruce Kendall Barnard,1174,0,27,0
100,2163307100,1291,Presidential Electors,Rod Silva / Richard C. Silva  Nutrition,1174,1,27,0
100,2163307100,1291,Presidential Electors,Mike Smith / Daniel White,1174,0,27,0
100,2163307100,1291,Presidential Electors,Emidio Soltysik / Angela Nicole Walker  Socialist USA,1174,0,27,0
100,2163307100,1291,Presidential Electors,Bruce Lohmiller / J.R. Smith - Green / Democratic,1174,0,27,0
100,2163307100,1291,Presidential Electors,Thomas J. Nieman / Bernie Jackson - Unaffiliated / Libertarian,1174,0,27,0
100,2163307100,1291,Presidential Electors,Corey Sterner / Jeff Ryan - Unaffiliated / Republican,1174,0,27,0
100,2163307100,1291,Presidential Electors,"David Perry / Eric ""Rick"" Seiley - Republican",1174,0,27,0
100,2163307100,1291,Presidential Electors,Brian Anthony Perry / Michael Byron Nelson - Unaffiliated,1174,0,27,0
100,2163307100,1291,Presidential Electors,Cherunda Fox / Roger Kushner - Unaffiliated,1174,0,27,0
101,2163307101,1209,Presidential Electors,Hillary Clinton / Tim Kaine,1119,721,22,0
101,2163307101,1209,Presidential Electors,Donald J. Trump / Michael R. Pence,1119,296,22,0
101,2163307101,1209,Presidential Electors,Darrell L. Castle / Scott N. Bradley,1119,5,22,0
101,2163307101,1209,Presidential Electors,Gary Johnson / Bill Weld,1119,53,22,0
101,2163307101,1209,Presidential Electors,Jill Stein / Ajamu Baraka,1119,7,22,0
101,2163307101,1209,Presidential Electors,Frank Atwood / Blake Huber  Approval Voting,1119,2,22,0
101,2163307101,1209,Presidential Electors,Rocky Roque De La Fuente / Michael Steinberg  American Delta,1119,0,22,0
